gene,drought_3_cnt
A2J10_10T0168300.3,1464
A2J10_04T0267200.1,281
A2J10_09T0101300.1,124
A2J10_06T0127300.1,902
A2J10_08T0029300.1,18
A2J10_01T0171300.1,1
A2J10_07T0044800.1,1777
A2J10_09T0022900.1,47
A2J10_07T0272500.1,12
A2J10_07T0272500.3,18
A2J10_07T0272500.2,12
A2J10_07T0291600.1,124
A2J10_05T0272400.1,1348
A2J10_03T0110300.1,46
A2J10_09T0080700.1,12456
A2J10_07T0186900.1,344
A2J10_03T0044400.1,43
A2J10_09T0202100.1,54
A2J10_09T0151300.1,801
A2J10_09T0151300.3,751
A2J10_09T0151300.2,737
A2J10_04T0126600.1,108
A2J10_11T0173800.2,13
A2J10_11T0173800.1,7
A2J10_02T0049300.2,227
A2J10_02T0049300.1,224
A2J10_05T0193400.1,47
A2J10_05T0193400.3,86
A2J10_05T0193400.4,36
A2J10_05T0193400.2,84
A2J10_04T0258500.1,8
A2J10_03T0047800.1,775
A2J10_11T0064900.1,1
A2J10_08T0091000.1,6
A2J10_04T0006900.1,187
A2J10_03T0079500.1,70
A2J10_01T0326300.2,1861
A2J10_01T0326300.1,1854
A2J10_07T0069000.1,3
A2J10_03T0330900.1,267
A2J10_03T0330900.3,301
A2J10_03T0330900.2,120
A2J10_02T0361700.1,45
A2J10_01T0164000.3,10
A2J10_01T0164000.1,10
A2J10_01T0164000.4,10
A2J10_01T0164000.2,8
A2J10_07T0066400.1,745
A2J10_02T0222200.2,342
A2J10_02T0222200.1,544
A2J10_02T0222200.3,566
A2J10_07T0071000.1,10
A2J10_02T0298900.1,107
A2J10_12T0047400.1,81
A2J10_01T0327300.1,850
A2J10_01T0060600.1,1428
A2J10_08T0032500.1,3
A2J10_04T0155300.2,130
A2J10_04T0155300.1,147
A2J10_01T0315600.1,4
A2J10_03T0237500.1,164
A2J10_01T0065800.1,74
A2J10_11T0240100.1,7201
A2J10_08T0187500.1,107
A2J10_03T0066400.1,59
A2J10_05T0075200.1,9
A2J10_08T0207200.1,402
A2J10_01T0036200.1,14
A2J10_03T0144800.3,750
A2J10_03T0144800.1,713
A2J10_03T0144800.2,724
A2J10_03T0144800.4,741
A2J10_03T0144800.5,750
A2J10_10T0042100.2,40
A2J10_10T0042100.1,22
A2J10_06T0062600.1,185
A2J10_06T0062600.2,164
A2J10_01T0116400.1,11
A2J10_01T0471400.1,87
A2J10_03T0244200.1,193
A2J10_03T0228900.1,719
A2J10_10T0187300.2,78
A2J10_10T0187300.1,78
A2J10_05T0059000.1,532
A2J10_05T0059000.2,530
A2J10_05T0059000.4,452
A2J10_05T0059000.3,541
A2J10_01T0242900.1,91
A2J10_08T0084000.1,69
A2J10_12T0167400.1,5
A2J10_01T0433700.1,596
A2J10_01T0433700.2,599
A2J10_01T0433700.3,497
A2J10_01T0433700.4,478
A2J10_06T0143500.1,1
A2J10_05T0266300.4,210
A2J10_05T0266300.2,199
A2J10_05T0266300.1,208
A2J10_05T0266300.3,219
A2J10_08T0068800.1,25
A2J10_07T0025000.1,2
A2J10_03T0062300.1,7
A2J10_02T0060800.1,491
A2J10_06T0028400.1,360
A2J10_06T0028400.2,319
A2J10_02T0326100.2,319
A2J10_02T0326100.1,459
A2J10_02T0218700.1,46
A2J10_06T0166000.1,5303
A2J10_04T0123200.2,98
A2J10_04T0123200.1,98
A2J10_02T0373400.1,2
A2J10_01T0082500.1,5
A2J10_06T0224600.1,6
A2J10_10T0176100.5,27
A2J10_10T0176100.3,27
A2J10_10T0176100.1,27
A2J10_10T0176100.4,14
A2J10_10T0176100.2,27
A2J10_07T0264900.3,22
A2J10_07T0264900.1,22
A2J10_07T0264900.2,22
A2J10_03T0297800.1,1048
A2J10_03T0297800.2,1101
A2J10_02T0287400.2,118
A2J10_02T0287400.4,91
A2J10_02T0287400.5,106
A2J10_02T0287400.3,97
A2J10_02T0287400.1,119
A2J10_06T0211900.1,1
A2J10_03T0317400.1,1870
A2J10_09T0016800.1,4
A2J10_01T0211000.1,11
A2J10_05T0012900.1,111
A2J10_10T0188800.1,19
A2J10_07T0221600.3,189
A2J10_07T0221600.4,134
A2J10_07T0221600.2,178
A2J10_07T0221600.1,142
A2J10_07T0196700.1,2
A2J10_07T0013600.1,48
A2J10_04T0228100.1,2
A2J10_04T0228100.2,5
A2J10_10T0021400.2,255
A2J10_10T0021400.1,364
A2J10_03T0296900.1,1586
A2J10_01T0032900.1,194
A2J10_06T0243800.1,95
A2J10_03T0016500.1,3
A2J10_01T0132000.2,1
A2J10_01T0132000.1,1
A2J10_08T0222300.1,120
A2J10_05T0134700.1,5
A2J10_01T0500300.1,32
