gene,control_1_cnt
A2J10_01T0326300.2,2625
A2J10_01T0326300.1,2619
A2J10_07T0069000.1,6
A2J10_03T0330900.1,286
A2J10_03T0330900.3,312
A2J10_03T0330900.2,102
A2J10_02T0361700.1,45
A2J10_01T0164000.3,14
A2J10_01T0164000.1,16
A2J10_01T0164000.4,16
A2J10_01T0164000.2,14
A2J10_07T0066400.1,1012
A2J10_02T0222200.2,453
A2J10_02T0222200.1,677
A2J10_02T0222200.3,764
A2J10_07T0071000.1,5
A2J10_02T0298900.1,232
A2J10_12T0047400.1,105
A2J10_01T0327300.1,810
A2J10_01T0060600.1,2175
A2J10_08T0032500.1,16
A2J10_04T0155300.2,273
A2J10_04T0155300.1,275
A2J10_01T0315600.1,5
A2J10_03T0237500.1,216
A2J10_01T0065800.1,118
A2J10_11T0240100.1,5984
A2J10_08T0187500.1,204
A2J10_03T0066400.1,83
A2J10_05T0075200.1,6
A2J10_08T0207200.1,421
A2J10_01T0036200.1,46
A2J10_03T0144800.3,1050
A2J10_03T0144800.1,1011
A2J10_03T0144800.2,1011
A2J10_03T0144800.4,1047
A2J10_03T0144800.5,1055
A2J10_10T0042100.2,31
A2J10_10T0042100.1,18
A2J10_06T0062600.1,254
A2J10_06T0062600.2,238
A2J10_01T0116400.1,1
A2J10_01T0471400.1,161
A2J10_03T0244200.1,304
A2J10_03T0228900.1,995
A2J10_10T0187300.2,72
A2J10_10T0187300.1,72
A2J10_05T0059000.1,693
A2J10_05T0059000.2,686
A2J10_05T0059000.4,569
A2J10_05T0059000.3,702
A2J10_01T0242900.1,216
A2J10_08T0084000.1,117
A2J10_12T0167400.1,1
A2J10_01T0433700.1,1010
A2J10_01T0433700.2,1066
A2J10_01T0433700.3,884
A2J10_01T0433700.4,845
A2J10_05T0266300.4,364
A2J10_05T0266300.2,339
A2J10_05T0266300.1,342
A2J10_05T0266300.3,366
A2J10_08T0068800.1,30
A2J10_07T0025000.1,8
A2J10_03T0062300.1,3
A2J10_02T0060800.1,811
A2J10_06T0028400.1,417
A2J10_06T0028400.2,359
A2J10_02T0326100.2,329
A2J10_02T0326100.1,459
A2J10_02T0218700.1,50
A2J10_06T0166000.1,6117
A2J10_04T0123200.2,191
A2J10_04T0123200.1,191
A2J10_01T0082500.1,8
A2J10_06T0224600.1,5
A2J10_10T0176100.5,48
A2J10_10T0176100.3,46
A2J10_10T0176100.1,46
A2J10_10T0176100.4,27
A2J10_10T0176100.2,48
A2J10_07T0264900.3,4
A2J10_07T0264900.1,5
A2J10_07T0264900.2,4
A2J10_03T0297800.1,1473
